"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","Login with email and Password","webkit","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","833","Patch the User Profile","firefox","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","60061","@webInput WebInput: SecondScenario","webkit","2026-07-01","broken","2026-07-01","","webInputs.spec.ts","",""
"","3497","@Login Login Verification: Invalid username","chromium","2026-07-01","passed","2026-07-01","","Parameteriselogin.spec.ts","",""
"","3504","@invalidPassword Invalid Password","webkit","2026-07-01","passed","2026-07-01","@Login functionality testing","describeLoginFeature.spec.ts","",""
"","530","Health check of an API","webkit","2026-07-01","passed","2026-07-01","","apitest.spec.ts","",""
"","757","Visual homepage check","chromium","2026-07-01","failed","2026-07-01","","visualRegression.spec.ts","",""
"","3906","Verify The Successfull Login","firefox","2026-07-01","failed","2026-07-01","","login.spec.ts","",""
"","1488","Login with email and Password","chromium","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","3531","@Login Login Verification: Invalid password","firefox","2026-07-01","passed","2026-07-01","","Parameteriselogin.spec.ts","",""
"","0","Post Call Health check of an API","firefox","2026-07-01","skipped","2026-07-01","","apitest.spec.ts","",""
"","1","Get Health check of an API","chromium","2026-07-01","skipped","2026-07-01","","apitest.spec.ts","",""
"","3404","@invalidPassword Invalid Password","webkit","2026-07-01","passed","2026-07-01","","login.spec.ts","",""
"","60024","@webInput WebInput: ThirdScenario","chromium","2026-07-01","broken","2026-07-01","","webInputs.spec.ts","",""
"","3668","@invalidPassword Invalid Password","firefox","2026-07-01","passed","2026-07-01","@Login functionality testing","describeLoginFeature.spec.ts","",""
